,Test,Noise,N,SNR,AISE FFT,AISE MCMC,AISE Nested,MISE FFT,MISE MCMC,MISE Nested
0,0,Normal,100,1,-0.06473977451296942,0.7499638920824154,0.7427777143989598,0.2581955648061688,0.08352563773560173,0.09093947388255047
1,0,Skew normal,100,1,0.38137688154422944,,,0.1541805628041305,,
2,0,Bimodal sym,100,1,0.4305053389042879,0.7724390702798261,0.7711243571383393,0.11066167729729706,0.04593456911767113,0.04588874330013069
3,0,Bimodal asym,100,1,0.09364095787883298,0.7714144229892516,0.7807578836872194,0.15358128864236897,0.06421056126457139,0.05649781194610209
4,0,Trimodal sym,100,1,0.6397433748891377,0.7803718010282377,0.7782966905472168,0.13745507296497964,0.05660766066389128,0.057554224818987657
5,0,Trimodal asym,100,1,0.5931461559641846,0.773193698603204,0.7743794608873926,0.12629657174078426,0.048559240088441175,0.04685240549247247
6,0,Student,100,1,0.6176793763509076,0.7783212395861311,0.7769473435457438,0.13449806127093558,0.046232674338853946,0.045995123739017554
7,0,Laplace,100,1,0.6045574464983314,0.7753321452004781,0.7763815563615615,0.15674040118011093,0.04679481451505997,0.04897883649536246
8,0,Laplace sharp,100,1,0.639580951722563,0.7820117929405669,0.780651014917853,0.1169115237907832,0.05755227255155207,0.05782058146314384
9,1,Normal,100,1,0.33817552347507485,0.7611569553092561,0.7635368223015987,0.12613829306785793,0.06912499404532124,0.06722895850749465
10,1,Skew normal,100,1,0.5014242612452658,0.7971044529517382,0.7971163501731776,0.12311579528646686,0.04589096553705429,0.046045501652345826
11,1,Bimodal sym,100,1,0.0663237516783588,0.7755144587928949,0.775138692358104,0.1779596099268589,0.04886004715432212,0.049266546673457395
12,1,Bimodal asym,100,1,0.24455328775114482,0.7915127044075214,0.7954859243298281,0.16740473335749587,0.051416332630381284,0.04830214057949584
13,1,Trimodal sym,100,1,0.6164094430622513,0.7991414192869445,0.7901018706646412,0.10172481843940027,0.0412622925398239,0.04581142291678353
14,1,Trimodal asym,100,1,0.6300199039700025,0.7951933351639378,0.7924173416455429,0.0954440303851363,0.04050262326120333,0.043886624181736666
15,1,Student,100,1,0.6178056815542566,0.7844727288690896,0.7861063585430672,0.11684419926494763,0.05278704215877266,0.0508665015255432
16,1,Laplace,100,1,0.5639686821738483,0.7182890257804444,0.6876681807097695,0.17422693085873076,0.10052227956678923,0.13452862813329383
17,1,Laplace sharp,100,1,0.6007604553277259,0.8187962226673414,0.8142435395268546,0.14596071342994335,0.03280448797623716,0.03595720985918829
18,2,Normal,100,1,0.10541038254963764,0.7752118001967265,0.7692074301723402,0.1344378415300893,0.06310903000795154,0.06839492789089385
19,2,Skew normal,100,1,0.41152779243910687,0.7716411494941811,0.7628603906006177,0.20063460549095857,0.0723849451824261,0.07934538818413105
20,2,Bimodal sym,100,1,0.17264089158921803,0.8242863821405284,0.8191235391989602,0.1296884035725742,0.03984165563846666,0.042091475864742704
21,2,Bimodal asym,100,1,0.024404696302813944,0.8297115180238501,0.8287097963166816,0.12605190461514987,0.037355573453981085,0.03824286331213497
22,2,Trimodal sym,100,1,0.6400411599815479,0.8179052154793104,0.7985416835817564,0.10958244190951083,0.03753806227669061,0.04372044515177064
23,2,Trimodal asym,100,1,0.571483510134932,0.8514564201217794,0.8441142278569769,0.12198574333977519,0.026739714893493017,0.029291414732014437
24,2,Student,100,1,0.6099850939122036,0.8259876616336557,0.827986323364296,0.12889588500471313,0.037596661062424895,0.0360036886677307
25,2,Laplace,100,1,0.5941029585479244,0.8307806910212323,0.8213517899329632,0.121480917229233,0.0356540174274027,0.039931055718994496
26,2,Laplace sharp,100,1,0.6197021857582804,0.8598439735945091,0.8560010890008454,0.09777155954734013,0.0231951155279535,0.024499708133366133
27,0,Normal,100,10,0.6492250900420362,0.8876267746734552,0.8823402452950535,0.11468598701915722,0.015776711006273314,0.016727765939561056
28,0,Skew normal,100,10,0.649225090042036,0.926398404591509,0.9343656971583603,0.10628190832222253,0.007244453066717119,0.0055147739451343126
29,0,Bimodal sym,100,10,0.6492250900420359,0.8002499854686069,0.7971935290119453,0.11574983148102183,0.046391166382071025,0.04812595136360048
30,0,Bimodal asym,100,10,0.6492250900420362,0.7872284315206164,0.787383356008341,0.11817375830078046,0.052179662043932123,0.050769067651788735
31,0,Trimodal sym,100,10,0.649225090042036,0.9586750842822304,0.95636756856927,0.11375998527444271,0.0026854985057909496,0.00287714253882943
32,0,Trimodal asym,100,10,0.649225090042036,,,0.10353862296748409,,
33,0,Student,100,10,0.6492250900420359,0.9011934506902243,0.890252511495323,0.11740779845691676,0.011891651946632935,0.014534282510991287
34,0,Laplace,100,10,0.6492250900420362,,,0.1098290279779872,,
35,0,Laplace sharp,100,10,0.6492250900420359,0.7840924401495755,0.7849714575467261,0.12204014420381526,0.05825377638434431,0.057834128473775476
36,1,Normal,100,10,0.6492250900420355,0.8075421313342783,0.8031008240672781,0.11668874157220883,0.043038302174657164,0.04480969937545741
37,1,Skew normal,100,10,0.6492250900420359,0.7980909792041624,0.7987481228880645,0.11386651438935898,0.043565107650199324,0.04290241684378801
38,1,Bimodal sym,100,10,0.6492250900420355,0.819431068064872,0.8168689995837788,0.11116723612254074,0.03889917292039148,0.03978324070392214
39,1,Bimodal asym,100,10,0.6492250900420353,0.7843145967200211,0.7814316763108305,0.1285901008013867,0.0570549817501012,0.05904791361828933
40,1,Trimodal sym,100,10,0.6492250900420352,0.9483287030900434,0.9495084095257281,0.10121431223788065,0.003432602308419559,0.0036651164020757043
41,1,Trimodal asym,100,10,0.6492250900420353,0.9676938187522615,0.9706811038487855,0.10017530893540794,0.0009571048472847114,0.000789831873586294
42,1,Student,100,10,0.6492250900420358,0.7877759755324266,0.7882709526069429,0.11334393495835055,0.05300340601911955,0.05281302195015689
43,1,Laplace,100,10,0.6492250900420355,0.8247227280187259,0.8274137365984995,0.10808205448900368,0.03558699100494382,0.03507598027093647
44,1,Laplace sharp,100,10,0.6492250900420355,0.9609867450749786,0.9540848697794088,0.09669807012785725,0.0017020908278878911,0.002389330476719224
45,2,Normal,100,10,0.643012468076177,0.8558972956433084,0.8569753479110687,0.119662624790069,0.018376258374293682,0.0179411175248174
46,2,Skew normal,100,10,0.6489533175974871,0.8338360596697088,0.8354281771021086,0.09785654170297443,0.033378797468608744,0.0329085905102375
47,2,Bimodal sym,100,10,0.6402778983233322,0.7993292025419163,0.8053483999425325,0.13185956584217431,0.05270445178930225,0.04917197790135624
48,2,Bimodal asym,100,10,0.648580010368635,0.8358533822183909,0.8335497881951681,0.11109735322112634,0.03242801031505952,0.03358696108658989
49,2,Trimodal sym,100,10,0.6401591673800908,0.8525939529521117,0.8543204759662741,0.11961165452563632,0.021367741958027653,0.02066505797054186
50,2,Trimodal asym,100,10,0.648308861177077,0.844284898109882,0.847487493196914,0.11432616312186479,0.0282275306063166,0.0267799683136997
51,2,Student,100,10,0.6492248389820672,0.8447827174445212,0.843700625899751,0.10147847251886014,0.027044175364536994,0.027708035525681452
52,2,Laplace,100,10,0.6492248892925242,0.8025225858197441,0.7948821526206815,0.09116893018106222,0.043484663593535255,0.04614287374628376
53,2,Laplace sharp,100,10,0.6492250363664458,0.8597783482658442,0.8602169395103116,0.11012232141215479,0.022902612727382504,0.022453276875262464
